,timesteps,ep_reward,num_updates,episodes
0,200,-0.9999997168779373,0,0
1,100,-1.599999263882637,0,1
2,200,-2.199998691678047,0,2
3,90,-1.5999991446733475,0,3
4,200,2.399998351931572,0,4
5,200,4.199996635317802,0,5
6,200,-1.3999994546175003,0,6
7,200,-0.9999997168779373,0,7
8,200,-7.450580596923828e-08,0,8
9,200,-2.199998691678047,0,9
10,200,0.20000001788139343,0,10
11,200,1.7999989241361618,1,11
12,200,3.199997588992119,0,12
13,200,3.3999973982572556,0,13
14,200,8.40000168979168,0,14
15,200,0.6000000685453415,0,15
16,149,4.599996253848076,0,16
17,200,7.39999358355999,0,17
18,200,3.5999972075223923,0,18
19,200,2.7999979704618454,0,19
20,200,0.9999996870756149,0,20
21,200,5.199995681643486,1,21
22,200,9.400024577975273,0,22
23,171,4.599996253848076,0,23
24,116,3.199997588992119,0,24
25,126,4.799996063113213,0,25
26,106,4.599996253848076,0,26
27,200,5.199995681643486,0,27
28,200,8.800010845065117,0,28
29,120,4.599996253848076,0,29
30,200,6.9999939650297165,0,30
31,159,4.599996253848076,0,31
32,200,5.799995109438896,0,32
33,115,4.599996253848076,1,33
34,200,14.000129863619804,0,34
35,200,10.00003831088543,0,35
36,200,12.200088664889336,0,36
37,200,10.800056621432304,0,37
38,74,4.599996253848076,0,38
39,86,4.599996253848076,0,39
40,200,12.200088664889336,0,40
41,77,3.199997588992119,0,41
42,200,10.400047466158867,0,42
43,174,9.400024577975273,0,43
44,200,10.400047466158867,0,44
45,40,2.999997779726982,0,45
46,89,4.599996253848076,0,46
47,200,15.800171062350273,1,47
48,158,10.800056621432304,0,48
49,200,17.00019757449627,0,49
50,200,18.60023419559002,0,50
51,200,17.800215885043144,0,51
52,87,4.599996253848076,0,52
53,200,17.00019757449627,0,53
54,132,9.400024577975273,0,54
55,200,16.000175639986992,0,55
56,200,11.800079509615898,0,56
57,85,4.599996253848076,0,57
58,200,15.600166484713554,1,58
59,200,22.600325748324394,0,59
60,200,20.800284549593925,0,60
61,200,21.200293704867363,0,61
62,200,21.40029828250408,0,62
63,200,18.4002296179533,0,63
64,96,9.400024577975273,0,64
65,200,21.200293704867363,0,65
66,200,21.40029828250408,0,66
67,200,17.00019757449627,0,67
68,200,20.00026623904705,0,68
69,200,25.200385257601738,1,69
70,200,27.400435611605644,0,70
71,167,22.000312015414238,0,71
72,200,25.00038067996502,0,72
73,200,25.200385257601738,0,73
74,200,23.40034405887127,0,74
75,200,25.00038067996502,0,75
76,200,27.80044476687908,0,76
77,200,24.60037152469158,0,77
78,122,15.600166484713554,0,78
79,200,25.800398990511894,1,79
80,200,28.400458499789238,0,80
81,200,27.80044476687908,0,81
82,161,23.40034405887127,0,82
83,200,29.200476810336113,0,83
84,200,29.200476810336113,0,84
85,200,26.60041730105877,0,85
86,104,15.600166484713554,0,86
87,200,29.000472232699394,0,87
88,192,29.60048596560955,0,88
89,200,28.0004493445158,0,89
90,120,17.200202152132988,1,90
91,148,23.40034405887127,0,91
92,200,29.80049054324627,0,92
93,200,28.400458499789238,0,93
94,100,17.200202152132988,0,94
95,58,9.600029155611992,0,95
96,200,27.600440189242363,0,96
97,200,31.40052716434002,0,97
98,97,15.600166484713554,0,98
99,200,29.200476810336113,0,99
100,200,29.80049054324627,0,100
101,200,30.600508853793144,0,101
102,187,29.60048596560955,0,102
103,193,29.60048596560955,1,103
104,200,33.00056378543377,0,104
105,200,32.000540897250175,0,105
106,114,17.200202152132988,0,106
107,200,31.2005225867033,0,107
108,189,29.80049054324627,0,108
109,200,31.40052716434002,0,109
110,184,30.000495120882988,0,110
111,186,29.60048596560955,0,111
112,200,32.000540897250175,0,112
113,170,29.60048596560955,1,113
114,200,33.40057294070721,0,114
115,200,34.00058667361736,0,115
116,200,34.4005958288908,0,116
117,200,34.20059125125408,0,117
118,200,35.400618717074394,0,118
119,200,32.40055005252361,0,119
120,185,29.60048596560955,0,120
121,200,34.20059125125408,0,121
122,200,33.600577518343925,0,122
123,170,29.60048596560955,0,123
124,200,34.20059125125408,1,124
125,200,33.800582095980644,0,125
126,200,35.00060956180096,0,126
127,200,35.200614139437675,0,127
128,200,34.80060498416424,0,128
129,200,36.40064160525799,0,129
130,200,34.80060498416424,0,130
131,200,35.00060956180096,0,131
132,200,35.00060956180096,0,132
133,200,34.80060498416424,0,133
134,200,37.000655338168144,1,134
135,200,35.400618717074394,0,135
136,200,36.800650760531425,0,136
137,200,36.60064618289471,0,137
138,200,35.60062329471111,0,138
139,200,36.20063702762127,0,139
140,200,36.20063702762127,0,140
141,200,36.40064160525799,0,141
142,200,36.60064618289471,0,142
143,200,36.40064160525799,0,143
144,200,37.40066449344158,1,144
145,200,37.20065991580486,0,145
146,200,36.800650760531425,0,146
147,200,37.6006690710783,0,147
148,200,36.800650760531425,0,148
149,200,36.60064618289471,0,149
150,200,37.40066449344158,0,150
151,200,36.800650760531425,0,151
152,200,37.40066449344158,0,152
153,200,37.80067364871502,0,153
154,200,38.400687381625175,1,154
155,200,37.20065991580486,0,155
156,200,38.00067822635174,0,156
157,200,38.600691959261894,0,157
158,200,38.00067822635174,0,158
159,200,37.80067364871502,0,159
160,200,39.40071026980877,0,160
161,200,37.000655338168144,0,161
162,200,38.600691959261894,0,162
163,200,39.00070111453533,0,163
164,200,37.80067364871502,1,164
165,200,38.80069653689861,0,165
166,200,38.600691959261894,0,166
167,200,38.00067822635174,0,167
168,200,38.80069653689861,0,168
169,200,38.400687381625175,0,169
170,200,38.20068280398846,0,170
171,200,38.00067822635174,0,171
172,200,39.40071026980877,0,172
173,200,38.20068280398846,0,173
174,200,38.80069653689861,1,174
175,200,38.400687381625175,0,175
176,200,38.20068280398846,0,176
177,200,38.20068280398846,0,177
178,200,38.20068280398846,0,178
179,200,38.400687381625175,0,179
180,200,38.80069653689861,0,180
181,200,39.00070111453533,0,181
182,200,39.00070111453533,0,182
183,200,38.400687381625175,0,183
184,200,39.00070111453533,1,184
185,200,39.40071026980877,0,185
186,200,38.20068280398846,0,186
187,200,39.20070569217205,0,187
188,200,39.80071942508221,0,188
189,200,38.80069653689861,0,189
190,200,38.400687381625175,0,190
191,200,39.00070111453533,0,191
192,200,39.80071942508221,0,192
193,200,39.60071484744549,0,193
194,200,39.20070569217205,1,194
195,200,38.400687381625175,0,195
196,200,39.00070111453533,0,196
197,200,39.80071942508221,0,197
198,200,39.40071026980877,0,198
199,200,38.80069653689861,0,199
200,200,39.80071942508221,0,200
